QWK,Pearson,RMSE,MAE,question_id,n_test,model
0.5271053528810092,0.5872001820071661,0.14071952914424865,0.11120188410120896,1,219,HC_SVR
0.8507067725163229,0.9171166363522888,0.11184501088075208,0.08884279651437688,2,218,HC_SVR
0.7592198096429339,0.8344963479379505,0.11784535615381048,0.09023215976761456,3,220,HC_SVR
0.8623574422904425,0.9105530958666157,0.1302825696402875,0.10126565593521107,4,219,HC_SVR
0.746251913259243,0.8081916355673531,0.1507093788455772,0.09957663424554904,5,217,HC_SVR
0.8321840270140892,0.8724373524159207,0.13262010568093438,0.1066670931146181,6,218,HC_SVR
0.8095252312340644,0.8587787839888507,0.15302238245670444,0.12573135549212042,7,217,HC_SVR
0.7400824639220341,0.8022623697498547,0.1598903927601711,0.12103087358436675,8,212,HC_SVR
0.8490240483123046,0.899599085124015,0.15265326894347228,0.11173432097939927,9,210,HC_SVR
0.7597778580233847,0.8228336076931423,0.16997555410450207,0.10693817080363284,10,212,HC_SVR
0.6493082244427364,0.7582733168184245,0.11040947001876741,0.08331179183333705,1,219,IndoBERT
0.6431383860964881,0.8528497423735734,0.19908549085806562,0.16682072228612518,2,218,IndoBERT
0.7458544920699863,0.8007297513262683,0.1285020339119918,0.10167357321851181,3,220,IndoBERT
0.7652001013664984,0.8299533329509432,0.1668936458455722,0.13678068777651184,4,219,IndoBERT
0.6297853844064113,0.814162698784527,0.18404955133103637,0.15835918839854946,5,217,IndoBERT
0.676994396033213,0.7674754187797822,0.17370346236344902,0.13338671017631845,6,218,IndoBERT
0.2716885075893276,0.4190233877383351,0.27379282598867316,0.22333879266832649,7,217,IndoBERT
0.4970144517841175,0.5860503087682951,0.23470945601555468,0.1861590137531828,8,212,IndoBERT
0.5743907756407152,0.6955062086568862,0.23953590393878443,0.2019904033447069,9,210,IndoBERT
0.7652731099035713,0.8898232199557506,0.1530506013379669,0.11486464648689113,10,212,IndoBERT
0.6052911074635512,0.6656484289709929,0.12542357996643694,0.09757858917394062,1,219,Late_Fusion
0.827714132692383,0.9197026220003209,0.13891541521337836,0.11170371429636823,2,218,Late_Fusion
0.7896708485356955,0.8539099752532598,0.11132653086776591,0.0841479521360916,3,220,Late_Fusion
0.8520243247685312,0.9096856535131468,0.12831043580422977,0.10052784388381764,4,219,Late_Fusion
0.7531749687438309,0.8409598335226818,0.14737190435647213,0.10762555116358516,5,217,Late_Fusion
0.8306470135239201,0.8950091493765512,0.12006221339798148,0.09668902075287626,6,218,Late_Fusion
0.7927560479962086,0.8802540266295943,0.15363194062238494,0.12556685683887855,7,217,Late_Fusion
0.6944025547769006,0.7825599798150763,0.17612732150124227,0.13733568796833306,8,212,Late_Fusion
0.8438307473184012,0.9034404958005162,0.15561829625128748,0.12012736181520506,9,210,Late_Fusion
0.8056525643584115,0.8551492128407386,0.15382829262838688,0.09998930567810911,10,212,Late_Fusion
